result/USER_ID,result/ITEM_ID,result/EVENT_TYPE,result/EVENT_VALUE,result/TIMESTAMP
soumyadip,PROD80717,CLICK,581.03,1596083385111
soumyadip,PROD80717,CLICK,581.03,1596083385111
soumyadip,PROD33146,CLICK,899.1,1596083385111
soumyadip,PROD33146,CLICK,899.1,1596083385111
soumyadip,PROD80919,CLICK,899.1,1596083385111
soumyadip,PROD80919,CLICK,899.1,1596083385111
soumyadip,PROD19922,CLICK,20899.05,1596083385111
soumyadip,PROD19922,CLICK,20899.05,1596083385111
soumyadip,PROD53428,CLICK,17149.02,1596083385111
soumyadip,PROD53428,CLICK,17149.02,1596083385111
soumyadip,PROD24539,CLICK,45589.03,1596083385111
soumyadip,PROD24539,CLICK,45589.03,1596083385111
soumyadip,PROD53163,CLICK,38949.05,1596083385111
soumyadip,PROD53163,CLICK,38949.05,1596083385111
soumyadip,PROD19922,CLICK,20899.05,1596083385111
soumyadip,PROD19922,CLICK,20899.05,1596083385111
soumyadip,PROD62738,CLICK,6639.6,1596083385111
soumyadip,PROD62738,CLICK,6639.6,1596083385111
soumyadip,PROD82479,CLICK,712.5,1596083385111
soumyadip,PROD82479,CLICK,712.5,1596083385111
soumyadip,PROD84112,CLICK,1152.0,1596083385111
soumyadip,PROD84112,PURCHASE,1152.0,1596083385111
soumyadip,PROD97381,CLICK,58.8,1596083385111
soumyadip,PROD97381,CLICK,58.8,1596083385111
soumyadip,PROD36344,CLICK,38.8,1596083385111
soumyadip,PROD36344,CLICK,38.8,1596083385111
soumyadip,PROD18864,CLICK,127.4,1596083385111
soumyadip,PROD18864,CLICK,127.4,1596083385111
soumyadip,PROD82617,CLICK,189.05,1596083385111
soumyadip,PROD82617,CLICK,189.05,1596083385111
soumyadip,PROD84719,CLICK,126.0,1596083385111
soumyadip,PROD84719,CLICK,126.0,1596083385111
soumyadip,PROD71575,CLICK,250.0,1596083385111
soumyadip,PROD71575,CLICK,250.0,1596083385111
soumyadip,PROD75354,CLICK,197.4,1596083385111
soumyadip,PROD75354,CLICK,197.4,1596083385111
soumyadip,PROD46786,CLICK,174.6,1596083385111
soumyadip,PROD46786,CLICK,174.6,1596083385111
soumyadip,PROD89027,CLICK,209.0,1596083385111
soumyadip,PROD89027,CLICK,209.0,1596083385111
soumyadip,PROD84719,CLICK,126.0,1596083385111
soumyadip,PROD84719,CLICK,126.0,1596083385111
soumyadip,PROD69366,CLICK,152.0,1596083385111
soumyadip,PROD69366,CLICK,152.0,1596083385111
soumyadip,PROD76591,CLICK,140.8,1596083385111
soumyadip,PROD76591,CLICK,140.8,1596083385111
soumyadip,PROD75354,CLICK,197.4,1596083385111
soumyadip,PROD75354,CLICK,197.4,1596083385111
Phalak@123,PROD59036,CLICK,189.05,1596084968331
Phalak@123,PROD59036,CLICK,189.05,1596084968331
Phalak@123,PROD53963,CLICK,155.82,1596084968331
Phalak@123,PROD75009,CLICK,106.82,1596084968331
Phalak@123,PROD53963,CLICK,155.82,1596084968331
Phalak@123,PROD75009,CLICK,106.82,1596084968331
Phalak@123,PROD69605,CLICK,282.0,1596084968331
Phalak@123,PROD69605,CLICK,282.0,1596084968331
Phalak@123,PROD31574,CLICK,1200.0,1596084968331
Phalak@123,PROD31574,CLICK,1200.0,1596084968331
Phalak@123,PROD59036,CLICK,189.05,1596084968331
Phalak@123,PROD59036,CLICK,189.05,1596084968331
Phalak@123,PROD53963,CLICK,155.82,1596084968331
Phalak@123,PROD53963,CLICK,155.82,1596084968331
Phalak@123,PROD75009,CLICK,106.82,1596084968331
Phalak@123,PROD75009,CLICK,106.82,1596084968331
Phalak@123,PROD96197,CLICK,199.5,1596084968331
Phalak@123,PROD96197,CLICK,199.5,1596084968331
Phalak@123,PROD19577,CLICK,174.6,1596084968331
Phalak@123,PROD19577,CLICK,174.6,1596084968331
Phalak@123,PROD50409,CLICK,250.0,1596084968331
Phalak@123,PROD50409,CLICK,250.0,1596084968331
Phalak@123,PROD86699,CLICK,268.8,1596084968331
Phalak@123,PROD86699,CLICK,268.8,1596084968331
Phalak@123,PROD50409,CLICK,250.0,1596084968331
Phalak@123,PROD50409,CLICK,250.0,1596084968331
Phalak@123,PROD86699,CLICK,268.8,1596084968331
Phalak@123,PROD86699,CLICK,268.8,1596084968331
Phalak@123,PROD70500,CLICK,250.0,1596084968331
Phalak@123,PROD70500,CLICK,250.0,1596084968331
Phalak@123,PROD59036,CLICK,189.05,1596084968331
Phalak@123,PROD59036,CLICK,189.05,1596084968331
Phalak@123,PROD53963,CLICK,155.82,1596084968331
Phalak@123,PROD53963,CLICK,155.82,1596084968331
Phalak@123,PROD75009,CLICK,106.82,1596084968331
Phalak@123,PROD75009,CLICK,106.82,1596084968331
Phalak@123,PROD36814,CLICK,150.0,1596084968331
Phalak@123,PROD36814,CLICK,150.0,1596084968331
Phalak@123,PROD36814,CLICK,150.0,1596084968331
Phalak@123,PROD96197,CLICK,199.5,1596084968331
Phalak@123,PROD96197,CLICK,199.5,1596084968331
Phalak@123,PROD96197,CLICK,199.5,1596084968331
Phalak@123,PROD17407,CLICK,190.0,1596084968331
Phalak@123,PROD17407,CLICK,190.0,1596084968331
Phalak@123,PROD17407,CLICK,190.0,1596084968331
soumyadip,PROD33146,CLICK,899.1,1596084968331
sunil,PROD24539,CLICK,45589.03,1596084968331
sunil,PROD24539,CLICK,45589.03,1596084968331
sunil,PROD19922,CLICK,20899.05,1596084968331
soumyadip,PROD33146,PURCHASE,899.1,1596084968331
sunil,PROD19922,CLICK,20899.05,1596084968331
sunil,PROD24539,CLICK,45589.03,1596084968331
soumyadip,PROD33146,CLICK,899.1,1596084968331
sunil,PROD24539,CLICK,45589.03,1596084968331
sunil,PROD53428,CLICK,17149.02,1596084968331
soumyadip,PROD84112,CLICK,1152.0,1596084968331
soumyadip,PROD84112,CLICK,1152.0,1596084968331
soumyadip,PROD82479,CLICK,712.5,1596084968331
soumyadip,PROD82479,CLICK,712.5,1596084968331
soumyadip,PROD62738,CLICK,6639.6,1596084968331
soumyadip,PROD62738,CLICK,6639.6,1596084968331
sunil,PROD53428,CLICK,17149.02,1596084968331
soumyadip,PROD86154,CLICK,539.1,1596084968331
soumyadip,PROD86154,CLICK,539.1,1596084968331
soumyadip,PROD44270,CLICK,1840.0,1596084968331
soumyadip,PROD44270,CLICK,1840.0,1596084968331
sunil,PROD53163,CLICK,38949.05,1596084968331
